"2134819-NGRAMS1.txt","Contraceptive Use, Pregnancy Intentions and Pregnancy Outcomes Among U.S. Women"
"2135853-NGRAMS1.txt","American Women's Sexual Behavior and Exposure to Risk of Sexually Transmitted Diseases"
"2648215-NGRAMS1.txt","Are There Unmet Family Planning Needs in Europe?"
"2135395-NGRAMS1.txt","Six School-Based Clinics: Their Reproductive Health Services and Impact on Sexual Behavior"
"2133953-NGRAMS1.txt","Illegitimacy: Myths, Causes and Cures: A Family Planning Perspectives Special Feature"
"2135557-NGRAMS1.txt","Drawing Women into Prenatal Care"
"2991676-NGRAMS1.txt","Clinic Provision of Contraceptive Services to Managed Care Enrollees"
"2134868-NGRAMS1.txt","Abortion Attitudes, 1965-1980: Trends and Determinants"
"2134964-NGRAMS1.txt","Paying for Maternity Care in the United States"
"2673736-NGRAMS1.txt","Public or Private Providers? U.S. Women's Use of Reproductive Health Services"
"2135138-NGRAMS1.txt","What U.S. Women Think and Do About Contraception"
"2136053-NGRAMS1.txt","The Family Planning Attitudes and Experiences of Low-Income Women"
"2134534-NGRAMS1.txt","Characteristics of Abortion Patients in the United States, 1979 and 1980"
"2135988-NGRAMS1.txt","Oral Contraceptives and Reproductive Cancers: Weighting the Risks and Benefits"
"2133834-NGRAMS1.txt","U.S. Population Growth and Family Planning: A Review of the Literature"
"2135512-NGRAMS1.txt","Induced Abortion: A World Review, 1990"
"2135555-NGRAMS1.txt","Sex Education and AIDS Education in the Schools: What States and Large School Districts are Doing"
"2673718-NGRAMS1.txt","Reproductive and Sexual Health Benefits in Private Health Insurance Plans in Washington State"
"2648174-NGRAMS1.txt","Sexuality Education in Fifth and Sixth Grades in U.S. Public Schools, 1999"
"2135106-NGRAMS1.txt","What Do Women Use When They Stop Using the Pill?"
"2133798-NGRAMS1.txt","Contraception and Pregnancy: Experience of Young Unmarried Women in the United States"
"2135194-NGRAMS1.txt","The Effects of the Sequencing of Marriage and First Birth During Adolescence"
"2135451-NGRAMS1.txt","Birth Intervals and Perinatal Health: An Investigation of Three Hypotheses"
"2134477-NGRAMS1.txt","The Long-Term Impact of Pregnancy at Marriage on the Family's Economic Circumstances"
"2133694-NGRAMS1.txt","How States are Using Title IV-A to Finance Family Planning Services"
"2135217-NGRAMS1.txt","Contraceptive Use, Pregnancy and Fertility Patterns Among Single American Women in Their 20s"
"2673767-NGRAMS1.txt","Family Planning Clinic Services in the United States: Patterns and Trends in the Late 1990s"
"2135494-NGRAMS1.txt","The Sexual and Reproductive Behavior of American Women, 1982-1988"
"2134173-NGRAMS1.txt","Fetal Research and Antiabortion Politics: Holding Science Hostage"
"2135622-NGRAMS1.txt","Fertility and Family Planning in the United States: Insights from the National Survey of Family Growth"
"2991588-NGRAMS1.txt","Age Differences Between Sexual Partners in the United States"
"2135791-NGRAMS1.txt","The Characteristics and Prior Contraceptive Use of U.S. Abortion Patients"
"2136238-NGRAMS1.txt","Subsequent Childbearing Among Teenage Mothers: The Determinants of a Closely Spaced Second Birth"
"2991645-NGRAMS1.txt","Evaluation of the Efficacy of a Polyurethane Condom: Results from a Randomized, Controlled Clinical Trial"
"2135556-NGRAMS1.txt","What Public School Teachers Teach About Preventing Pregnancy, AIDS and Sexually Transmitted Diseases"
"2135001-NGRAMS1.txt","Abortion Services in the United States, 1981 and 1982"
"2135306-NGRAMS1.txt","The IUD After 20 Years: A Review"
"2953347-NGRAMS1.txt","The Provision of Public-Sector Services by Family Planning Agencies in 1995"
"2133781-NGRAMS1.txt","State Administration and Financing of Family Planning Services"
"2135017-NGRAMS1.txt","The Need for Prenatal Care in the United States: Evidence from the 1980 National Natality Survey"
"2673740-NGRAMS1.txt","Union Status, Marital History and Female Contraceptive Sterilization in the United States"
"2135086-NGRAMS1.txt","Worldwide Trends in Funding for Contraceptive Research and Evaluation"
"2135873-NGRAMS1.txt","Contraceptive Use and Sterilization Among Puerto Rican Women"
"2673717-NGRAMS1.txt","Fertility Desires and Intentions of HIV-Positive Men and Women"
"2991570-NGRAMS1.txt","Sexual Partnership Patterns as a Behavioral Risk Factor for Sexually Transmitted Diseases"
"2134601-NGRAMS1.txt","Sex Education and Contraceptive Education in U.S. Public High Schools"
"2991524-NGRAMS1.txt","Impaired Fecundity in the United States: 1982-1995"
"2135990-NGRAMS1.txt","Obstacles to Prenatal Care Following Implementation of a Community-Based Program to Reduce Financial Barriers"
"2136189-NGRAMS1.txt","Abortion Patients in 1994-1995: Characteristics and Contraceptive Use"
"2133731-NGRAMS1.txt","Legal Abortion Among New York City Residents: An Analysis According to Socioeconomic and Demographic Characteristics"
"2135595-NGRAMS1.txt","First Family Planning Visits by Young Women"
"2136209-NGRAMS1.txt","Perceptions of AIDS Risk and Severity and Their Association with Risk-Related Behavior among U.S. Men"
"2991664-NGRAMS1.txt","Predicting Maternal Behaviors During Pregnancy: Does Intention Status Matter?"
"2134269-NGRAMS1.txt","Early Childbearing and Subsequent Fertility"
"2648234-NGRAMS1.txt","Why Are U.S. Women Not Using Long-Acting Contraceptives?"
"2135870-NGRAMS1.txt","Parental Involvement in Minors' Abortion Decisions"
"2136140-NGRAMS1.txt","Public Funding for Contraceptive, Sterilization and Abortion Services, Fiscal Year 1992"
"2134764-NGRAMS1.txt","Abortion in the United States, 1978-1979"
"2135698-NGRAMS1.txt","U.S. Women's Contraceptive Attitudes and Practice: How Have They Changed in the 1980s?"
"2135282-NGRAMS1.txt","The Abortion Issue in the 1980 Elections"
"2648197-NGRAMS1.txt","Impact of Perceived Stress, Major Life Events and Pregnancy Attitudes on Low Birth Weight"
"2136257-NGRAMS1.txt","Acceptability of Medical Abortion in Early Pregnancy"
"2953396-NGRAMS1.txt","Sexual Abuse History and Number of Sex Partners Among Female Adolescents"
"2991641-NGRAMS1.txt","Contraceptive Failure, Method-Related Discontinuation and Resumption of Use: Results from the 1995 National Survey of Family Growth"
"2136055-NGRAMS1.txt","Public Health Departments Providing Sexually Transmitted Disease Services"
"2648213-NGRAMS1.txt","Psychosocial Factors and the Timing of Prenatal Care among Women in New Jersey's HealthStart Program"
"2953331-NGRAMS1.txt","The Impact of the Postponing Sexual Involvement Curriculum Among Youths in California"
"2134979-NGRAMS1.txt","Adolescent Pregnancy in the United States: An Interstate Analysis"
"2134110-NGRAMS1.txt","Is Support of Abortion Political Suicide?"
"2135493-NGRAMS1.txt","Contraceptive Practice in the United States, 1982-1988"
"2991536-NGRAMS1.txt","Determinants of Trends in Condom Use in the United States, 1988-1995"
"2135800-NGRAMS1.txt","School-Based Health Clinics: Three Years of Experience"
"2991552-NGRAMS1.txt","Women's Interest in Vaginal Microbicides"
"2135495-NGRAMS1.txt","Barriers to Prenatal Care Among Low-Income Women in New York City"
"2134710-NGRAMS1.txt","Factors Affecting Adolescents' Use of Family Planning Clinics"
"2648163-NGRAMS1.txt","Female Condom Use among Women at High Risk of Sexually Transmitted Disease"
"2135169-NGRAMS1.txt","Single-Parent Families: Are Their Economic Problems Transitory or Persistent?"
"2991608-NGRAMS1.txt","The Effects of Pregnancy Planning Status on Birth Outcomes and Infant Care"
"2134253-NGRAMS1.txt","Community Determinants of U.S. Legal Abortion Rates"
"2134798-NGRAMS1.txt","Abortion Services in the United States, 1979 and 1980"
"2133738-NGRAMS1.txt","View from Louisiana"
"2991663-NGRAMS1.txt","Breakage and Acceptability of a Polyurethane Condom: A Randomized, Controlled Study"
"2991517-NGRAMS1.txt","Trends in Contraceptive Use in the United States: 1982-1995"
"2134029-NGRAMS1.txt","Eighteen Months Later: Family Planning Services in the United States, 1969: A Family Planning Perspectives Special Feature"
"2134030-NGRAMS1.txt","Population Growth and America's Future: A Family Planning Perspectives Special Feature"
